,lr,F1(B),F1(M),mAP50(B),mAP50(M),mAP50-95(B),mAP50-95(M),,imgsz,batch,
extra_large,lr_0.0001,0.77151203,0.765154822,0.81221966,0.802970541,0.662077934,0.588205746,,640,8,
extra_large,lr_0.0005,0.784644098,0.778725308,0.825563008,0.817609794,0.689751572,0.620630339,,640,8,
extra_large,lr_0.001,0.789142996,0.783955382,0.830777967,0.823906339,0.700887116,0.632187202,,640,8,
extra_large,lr_0.005,0.782345618,0.776317363,0.823018827,0.815021261,0.694792671,0.627501113,,640,8,
extra_large,lr_0.01,0.786491583,0.780720872,0.821862665,0.813443447,0.688796214,0.623524872,,640,8,
,,,,,,,,,,,
,,,,,,,,,,,
large,lr_0.001,0.801670186,0.804386631,0.84699337,0.849642067,0.734634565,0.705152451,,1120,8,
extra_large,lr_0.001,0.812247282,0.812955144,0.855551495,0.8560886,0.744234701,0.717367804,,1280,5,
large,lr_0.001,0.838589051,0.839197885,0.876415256,0.87630361,0.765212496,0.749913663,,1280,7,new_dataset
